,,error_angle_mean,error_angle_median,error_angle_25,error_angle_75,error_angle_95,error_angle_std,error_angle_S2,error_vgp_scatter,n_tot,N,n0,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers,total_simulations
0,0,4.147206351088587,3.912595104548494,2.484666894318675,5.486852244563657,8.148170738817585,2.186133731850398,21.978023293974303,3.186313750606189,26,13,2,50,30.0,0.0,0.0,G,,False,10000
1,0,4.725067072590639,4.445761854113869,2.8764385379368846,6.279025868524364,9.143662637789198,2.4559316339895974,28.35725587129201,2.9320659813148664,189,7,27,50,30.0,0.0,0.0,G,,False,10000
2,0,3.980892706951623,3.739991444821186,2.4131621046792837,5.28121327983385,7.779721677798232,2.085577902631884,20.196706968688236,2.438956650459636,190,10,19,50,30.0,0.0,0.0,G,,False,10000
3,0,3.2334620558939298,3.0137624015710216,1.9502034033674711,4.281602971198364,6.409835167623072,1.7150212588390072,13.396280655383705,5.554613343635178,29,29,1,50,30.0,0.0,0.0,G,,False,10000
4,0,2.1588363202791387,2.034648534908264,1.3119730463779398,2.8463116510762205,4.181180882411768,1.1256745085446602,5.9275906426337155,1.3099368927551616,296,37,8,50,30.0,0.0,0.0,G,,False,10000
5,0,2.9231079525548864,2.7637525892274937,1.7472199537890383,3.8832599823419045,5.708183603489737,1.5365965874698364,10.905453062006304,1.7812655117801397,160,20,8,50,30.0,0.0,0.0,G,,False,10000
6,0,3.7318922757485664,3.4999898181117644,2.2705660312830283,4.961904756459763,7.280959200751186,1.956919748853601,17.75617190775471,2.272980671676684,144,12,12,50,30.0,0.0,0.0,G,,False,10000
7,0,8.85057499767876,8.22879918380064,5.349069268021516,11.76826741875658,17.314432026980874,4.643829071512385,99.89566972011545,6.647031105246329,52,2,26,50,30.0,0.0,0.0,G,,False,10000
8,0,2.3259903415714414,2.179227546335582,1.413215297862493,3.0820205362655138,4.572148547753796,1.2193879029089365,6.896989236158508,1.4172272542003312,279,31,9,50,30.0,0.0,0.0,G,,False,10000
9,0,2.761804608597081,2.584158515532998,1.6505524065100623,3.677207332985727,5.403965234139403,1.4609306593517772,9.761669655662953,1.6648006950455505,198,22,9,50,30.0,0.0,0.0,G,,False,10000
10,0,5.562371424017633,5.244263676911899,3.395535829005297,7.3461486943833805,10.860329754458832,2.8978789114868317,39.3368382741495,3.561053871598457,155,5,31,50,30.0,0.0,0.0,G,,False,10000
11,0,4.217886003292965,3.988276587140497,2.564956767574351,5.560954942644912,8.190733966146713,2.1917787374345274,22.593975981241403,2.5830623369763495,216,9,24,50,30.0,0.0,0.0,G,,False,10000
12,0,2.4324638623017876,2.282292947773236,1.4716479182477507,3.242352557825292,4.75339444718954,1.2747420520760946,7.54168524400537,1.5431792365506578,150,30,5,50,30.0,0.0,0.0,G,,False,10000
13,0,2.309058025369744,2.1545197941905343,1.3920577660455393,3.0816485754704175,4.563241082732363,1.2272977407448162,6.837858082987307,1.3994854031773105,224,32,7,50,30.0,0.0,0.0,G,,False,10000
14,0,4.280860424572292,4.036924779799733,2.6275444750491737,5.67535182630407,8.252793860840711,2.212178553923434,23.219010555712593,2.6436348959775002,117,9,13,50,30.0,0.0,0.0,G,,False,10000
