,,error_angle_mean,error_angle_median,error_angle_25,error_angle_75,error_angle_95,error_angle_std,error_angle_S2,error_vgp_scatter,n_tot,N,n0,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers,total_simulations
0,0,6.961978339281563,6.488408613728581,4.13626876659081,9.261255450871552,13.836567015890395,3.716380209031629,62.277861958336025,5.420112914051701,25,5,5,20,30.0,0.0,0.2,G,,True,5000
1,0,3.791025539747339,3.531297711519862,2.277889234811088,4.993698415113016,7.494339086010539,2.013241900742553,18.424206965331912,44.14483702625196,155,155,1,20,30.0,0.0,0.30000000000000004,G,,False,5000
2,0,14.727711484160574,13.691266357959599,8.633306641372858,19.53211691960308,29.285867483546056,7.9753141610871685,280.4984004015191,,5,1,5,20,30.0,0.0,0.0,G,,True,5000
3,0,4.312369566272305,3.9723336070155284,2.507251134112291,5.767837919036516,8.75072623653525,2.3691107379834873,24.208094427802482,4.677090380036178,105,21,5,20,30.0,0.0,0.6000000000000001,G,,True,5000
4,0,62.61694701106673,48.991792403608386,22.15735596347014,101.31949588426785,146.72647356430977,46.40975019124535,6074.316192817973,,1,1,1,20,30.0,0.0,0.6000000000000001,G,,False,5000
5,0,2.590643969662653,2.4208312788998256,1.554866872398005,3.4552367524318974,5.160874804166086,1.3769682994806547,8.607098666984559,1.8472088677012046,170,34,5,20,30.0,0.0,0.0,G,,True,5000
6,0,3.4566998358599683,3.225848078874648,2.0551614500856665,4.596952679036448,6.817144593808372,1.838467369066871,15.328060029904561,3.630701346040125,145,29,5,20,30.0,0.0,0.5,G,,True,5000
7,0,17.37189653918841,15.82925312332901,10.214880099152822,22.78722356127348,35.76302679906003,9.883221849086269,399.44195195232726,,5,1,5,20,30.0,0.0,0.5,G,,True,5165
8,0,4.289332854713184,4.0141488144401265,2.5542131215178046,5.687282866729419,8.586178174381443,2.30068707153786,23.69047870746318,4.632829303942244,110,22,5,20,30.0,0.0,0.6000000000000001,G,,True,5000
9,0,4.664300249986391,4.290285723425967,2.8038451449001442,6.147939888189768,9.337536325431712,2.527234908575655,28.141335721889885,51.48864709101069,150,150,1,20,30.0,0.0,0.4,G,,False,5000
10,0,4.14360553661114,3.897475436874224,2.489788053761451,5.521190186395106,8.035695019420775,2.167640827575815,21.867193867056585,3.3232831611818585,75,15,5,20,30.0,0.0,0.2,G,,True,5000
11,0,5.5659380756098,5.111620137831352,3.258528827081239,7.310580432982441,11.338867683879544,3.09834267867753,40.57747407056668,51.30915752418942,105,105,1,20,30.0,0.0,0.4,G,,False,5000
12,0,5.779697790505649,5.33596666831486,3.451266351067993,7.7002190396825725,11.390805197006099,3.090756730565318,42.95577316167719,4.956071081846925,45,9,5,20,30.0,0.0,0.4,G,,True,5000
13,0,6.69055334888655,6.151939107611554,3.9215560302284516,8.771731560310151,13.627874903116032,3.767644407929409,58.955809470021855,36.027626479909856,30,30,1,20,30.0,0.0,0.2,G,,False,5000
14,0,8.103567291959168,7.4071959850520415,4.7129630829629185,10.725950051320176,16.545329809498842,4.537711969640537,86.25451460874558,63.856181945217955,140,140,1,20,30.0,0.0,0.6000000000000001,G,,False,5000
15,0,3.4073338151728896,3.1643990347734885,2.038850765190773,4.579984188746842,6.7114928251955135,1.796539080119396,14.8368308838836,2.84739565869156,120,24,5,20,30.0,0.0,0.30000000000000004,G,,True,5000
16,0,4.007675009607587,3.7658009305690925,2.396305420494169,5.294816091893768,7.910612424519749,2.129768260042461,20.596464641549154,44.08416462271126,140,140,1,20,30.0,0.0,0.30000000000000004,G,,False,5000
17,0,2.2030851105486633,2.085301180870019,1.3682909263267327,2.901651167826614,4.179358670598341,1.1112338990881263,6.08817781464812,25.514901081180504,240,240,1,20,30.0,0.0,0.1,G,,False,5000
18,0,4.480977287655076,4.170134420877865,2.72525367660468,5.884664805367759,8.849119079648155,2.3943372101198226,25.810861558109863,58.025454433573074,275,275,1,20,30.0,0.0,0.5,G,,False,5000
19,0,5.21490402758416,4.85971248740249,3.0684402304263436,6.914434390452467,10.321706044771727,2.7879048944546976,34.96608323469784,4.534205054353957,55,11,5,20,30.0,0.0,0.4,G,,True,5000
20,0,15.101506602992755,13.992554625004232,8.979394144741057,20.029642154614198,30.320535716014763,8.183800539542046,295.0166980329883,,5,1,5,20,30.0,0.0,0.1,G,,True,5000
21,0,3.8908873918023454,3.633996193788036,2.3338991810509313,5.149225898277098,7.782467360409707,2.091618655113575,19.5129983203859,35.86958048379545,95,95,1,20,30.0,0.0,0.2,G,,False,5000
22,0,3.490034341463253,3.242445616911141,2.113198235044912,4.603566775011835,6.940140371721605,1.857444416498025,15.629749445020455,3.7320183830848968,140,28,5,20,30.0,0.0,0.5,G,,True,5000
23,0,2.521219134930463,2.381296323548419,1.5385053982767403,3.293540649154732,4.951098835176541,1.3115701004063622,8.07641801139381,25.577833559037845,165,165,1,20,30.0,0.0,0.1,G,,False,5000
24,0,2.7715449423729783,2.582057688634386,1.6533000392446127,3.7073271571471125,5.426412808210964,1.462913648806302,9.821149688188232,25.50056664559801,130,130,1,20,30.0,0.0,0.1,G,,False,5000
25,0,2.650320217713009,2.466345919456181,1.5652747737272144,3.5269910983058423,5.2264488554450566,1.4318684034018798,9.07403433165405,2.561615896767474,220,44,5,20,30.0,0.0,0.4,G,,True,5000
26,0,2.599233296987326,2.4336551212775746,1.5411829827677472,3.4825799281384633,5.114753808052348,1.38968494186487,8.686851724966045,2.0314509855102902,190,38,5,20,30.0,0.0,0.2,G,,True,5000
27,0,4.8594006909626986,4.5431847251536865,2.90522659239495,6.419875071719748,9.521221975106139,2.564472203460019,30.188977454111377,35.82927161936207,60,60,1,20,30.0,0.0,0.2,G,,False,5000
28,0,7.614935972015427,7.048717981824524,4.528859928431807,10.005965160130891,15.355586711175434,4.13409977784848,75.07461267490676,63.85867464672884,165,165,1,20,30.0,0.0,0.6000000000000001,G,,False,5000
29,0,4.366354228236655,4.022863762039364,2.602419999290486,5.82655291001122,8.782387203907703,2.3660645596295597,24.66219109447507,57.95878792902066,295,295,1,20,30.0,0.0,0.5,G,,False,5000
30,0,2.7621066196066137,2.5808076323410916,1.6495892921043556,3.6705010744644184,5.417792251139669,1.4632120668935993,9.769794332867175,2.2263114510961945,165,33,5,20,30.0,0.0,0.2,G,,True,5000
31,0,3.3121044853472834,3.054885430291968,1.997282005125033,4.430839360690982,6.57049703450823,1.7617704353317098,14.073250421653112,3.141824926082696,135,27,5,20,30.0,0.0,0.4,G,,True,5000
32,0,4.154861545282327,3.85791100388267,2.44665199480756,5.54937109042033,8.175095762168906,2.2011672541808633,22.107042713887793,4.173265674486429,100,20,5,20,30.0,0.0,0.5,G,,True,5000
33,0,5.15091971971247,4.813206026823927,3.116759051579823,6.828688095237915,10.301434503215331,2.7295678752291392,33.98102463624861,57.98849517576184,210,210,1,20,30.0,0.0,0.5,G,,False,5000
34,0,4.2700121017444035,4.009270214450858,2.5741161714752927,5.638692384827554,8.46003446644168,2.2749512618979915,23.407371512406115,44.07440650292267,120,120,1,20,30.0,0.0,0.30000000000000004,G,,False,5000
35,0,6.180179372359114,5.717041667850367,3.6556973139401983,8.175287474676772,12.507832414410181,3.417014792837264,49.86827197098288,63.97574109884682,250,250,1,20,30.0,0.0,0.6000000000000001,G,,False,5000
36,0,5.024623026058352,4.653576925423394,2.9638071917272555,6.6887491222115365,10.027945579421994,2.7532702404382157,32.82581747147512,58.06846341077676,215,215,1,20,30.0,0.0,0.5,G,,False,5000
37,0,4.426530740336025,4.121894188982388,2.6667905127940656,5.888556721115371,8.670397343000646,2.3340687744584905,25.04096186363318,3.4659483041640713,60,12,5,20,30.0,0.0,0.1,G,,True,5000
38,0,5.215283976111175,4.800842581104199,3.083823694164373,6.985157076028063,10.433611597538759,2.8429970181598274,35.28020247033861,44.13230807265595,75,75,1,20,30.0,0.0,0.30000000000000004,G,,False,5000
39,0,3.835499877353564,3.5824745971031575,2.321564679789102,5.050787426539895,7.677561305610696,2.0508214710677657,18.91608684163052,51.42406352166881,230,230,1,20,30.0,0.0,0.4,G,,False,5000
40,0,4.270085956482761,3.975134868703826,2.585360902123128,5.653858272234192,8.367807785811769,2.248749219487901,23.289495753288314,4.2144484824098125,95,19,5,20,30.0,0.0,0.5,G,,True,5000
41,0,6.112580346006411,5.712576421674804,3.712364682812879,8.116434968172737,12.029559591560433,3.217006332215268,47.71069840194868,4.585736497371371,30,6,5,20,30.0,0.0,0.0,G,,True,5000
42,0,2.666432004564237,2.471855013501454,1.5928394080125479,3.5113603119499146,5.22252304923136,1.4043618733677041,9.08169745987903,3.792021287046499,295,59,5,20,30.0,0.0,0.6000000000000001,G,,True,5000
43,0,2.4986289472593612,2.3554005455364972,1.552236467713886,3.303946023158538,4.886075895516422,1.276476067207849,7.8722118880068095,25.48065641921075,175,175,1,20,30.0,0.0,0.1,G,,False,5000
44,0,2.301784192756569,2.193448686849912,1.4478880522807351,3.035401662431198,4.342452013499995,1.1444765388967078,6.60777505279938,25.401614971870735,215,215,1,20,30.0,0.0,0.1,G,,False,5000
45,0,9.877232942911938,8.981322165014738,5.697435604039843,13.050822569176276,20.133566933195702,5.630175033686585,129.25226174431057,63.797490132720725,95,95,1,20,30.0,0.0,0.6000000000000001,G,,False,5000
46,0,6.717211950785166,6.129652374932036,3.955423047175028,8.912722498087998,13.56394234940338,3.7361012410952505,59.076597184987776,57.862594650075536,120,120,1,20,30.0,0.0,0.5,G,,False,5000
47,0,6.206400266778508,5.819854982697734,3.750277927777006,8.176814083989399,12.327507581326774,3.287936871516209,49.32777103676992,5.099734050299012,35,7,5,20,30.0,0.0,0.30000000000000004,G,,True,5000
48,0,7.26999533617264,6.5835863070074865,4.290040831094487,9.660937353739651,15.078991588881467,4.1320708242546775,69.92342668276933,44.32491645961009,40,40,1,20,30.0,0.0,0.30000000000000004,G,,False,5000
49,0,5.561184399335007,5.146463626056118,3.2362273912502353,7.363249051833453,11.248558040000415,3.0781868019736733,40.400110864454405,51.361305272422086,110,110,1,20,30.0,0.0,0.4,G,,False,5000
50,0,3.5280653812740876,3.277767898774833,2.1167105503930834,4.679743662412715,7.055371559184784,1.8971859171939816,16.045839876062963,3.312566136921383,120,24,5,20,30.0,0.0,0.4,G,,True,5000
51,0,55.93499292548066,38.02302442866465,19.24789751974649,89.0080472351531,143.82942546184765,45.09707682882086,5162.063022810442,,1,1,1,20,30.0,0.0,0.5,G,,False,5000
52,0,2.447738889419513,2.325768330732238,1.4841136291432022,3.2534069748245855,4.727432019225473,1.260994818590303,7.581215581701762,35.61501268224679,280,280,1,20,30.0,0.0,0.2,G,,False,5000
53,0,2.642066968205911,2.462857418963239,1.5987949197634386,3.5046420010079053,5.2155921183475416,1.3908589398159312,8.914619557232578,3.142061249348779,250,50,5,20,30.0,0.0,0.5,G,,True,5000
54,0,6.130405653454326,5.6369388189774625,3.5524836080817863,8.093096990963044,12.670928860610633,3.469444840441188,49.616513567268555,57.878466832014574,145,145,1,20,30.0,0.0,0.5,G,,False,5000
55,0,2.786110947912136,2.6585834073241017,1.6523357780351944,3.703297968593354,5.469054664607565,1.4790089925735534,9.949444320669276,3.8081922817098284,270,54,5,20,30.0,0.0,0.6000000000000001,G,,True,5000
56,0,3.1715806122618466,2.94996488663638,1.9303845139071427,4.19706706869983,6.188932502737987,1.6726592292960956,12.856152919645169,44.11100325676633,230,230,1,20,30.0,0.0,0.30000000000000004,G,,False,5000
57,0,3.592078296357539,3.3942899877713373,2.1352537827064104,4.758485820287799,7.090569430302068,1.9086719060507662,16.545326326421357,44.110068871545735,175,175,1,20,30.0,0.0,0.30000000000000004,G,,False,5000
58,0,2.3483662135413965,2.1873456066083747,1.4003818997732083,3.1204498991988885,4.643768323321462,1.243532836308591,7.060888513097449,1.7114007857313827,205,41,5,20,30.0,0.0,0.0,G,,True,5000
59,0,3.2142263602424057,3.0327282347970197,1.947663877016378,4.266202913193194,6.33643761372214,1.6759957107136523,13.139650924883236,2.733399249215168,135,27,5,20,30.0,0.0,0.30000000000000004,G,,True,5000
60,0,3.1587563154364227,2.985162319027907,1.9287429536160232,4.200798937446777,6.259899215026904,1.6593555396811368,12.730651575218545,2.2733547478591394,115,23,5,20,30.0,0.0,0.0,G,,True,5000
61,0,1.8285063910816337,1.7559968649828477,1.2064262839327036,2.3826300609809437,3.3295238667222864,0.8503027738300505,4.066305826448022,11.39116888353442,275,275,1,20,30.0,0.0,0.0,G,,False,5000
