,error_angle_mean,error_angle_median,error_angle_95,error_angle_std,n_tot,n,k,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers
0,9.262601869520294,8.569012215449973,18.591302869209272,4.912843485631588,50,10,5,50,80,0.0,0.7000000000000001,G,,True
0,3.5500494431993257,3.3299320832148425,6.7313937607594285,1.7869790172203186,50,10,5,40,0,0.0,0.25,G,,True
0,4.1439338694579835,3.8268958886876874,8.332448742212994,2.2550056254888995,50,10,5,90,30,0.0,0.30000000000000004,G,,True
0,4.139856430747287,3.8247013872866447,7.952438001368486,2.1886503769725216,50,10,5,30,20,0.0,0.2,G,,True
0,10.203640578514507,9.26108417920156,20.86417422545826,5.602711021928097,50,50,1,20,60,0.0,0.4,G,,False
0,6.0903764930867625,5.734269683488648,11.64057651682256,3.1899651198818724,50,10,5,50,60,0.0,0.0,G,,True
0,4.419299772315792,4.13973243558214,8.75706928689633,2.3346405580431293,50,10,5,50,30,0.0,0.2,G,,True
0,8.678355545358535,7.719127563515784,18.339990101072594,5.126448904998416,50,50,1,10,0,0.0,0.45,G,,False
0,4.280606444607906,4.058579355499155,8.25683838029657,2.335053399837114,50,10,5,100,10,0.0,0.75,G,,True
0,3.216280166420258,3.0171353285909817,6.324296153587274,1.7268511881038844,50,50,1,60,30,0.0,0.1,G,,False
0,6.684810633457366,6.128927152767474,13.140346305615035,3.5327211531246476,50,10,5,80,60,0.0,0.5,G,,True
0,12.843683003258382,11.823739340127993,26.05383578225552,7.017847947442864,50,50,1,30,70,0.0,0.5,G,,False
0,4.280132892583162,4.044205287144038,8.13695623949181,2.1824145818581493,50,10,5,30,20,0.0,0.30000000000000004,G,,True
0,8.56951017805765,7.937059944722016,17.50139273613435,4.877659072279558,50,50,1,100,40,0.0,0.45,G,,False
0,9.144439396203936,8.32037088910456,18.128636949704685,4.929123663052961,50,50,1,70,50,0.0,0.45,G,,False
0,5.132896369644499,4.778004806372337,10.074666117953631,2.7993419055003983,50,50,1,40,10,0.0,0.30000000000000004,G,,False
0,3.8669802627570995,3.5968860529793574,7.747700908215234,2.1317824672351273,50,50,1,100,40,0.0,0.15000000000000002,G,,False
0,3.686305317007008,3.382090961928597,7.292256254847441,1.9686412959457937,50,10,5,80,20,0.0,0.15000000000000002,G,,True
0,17.37630799221505,16.28702376325686,35.35173717829629,9.657144900187786,50,50,1,20,70,0.0,0.6000000000000001,G,,False
0,7.187878595209341,6.788180292632077,13.602757452683598,3.7291714270835095,50,10,5,90,80,0.0,0.0,G,,True
0,6.418564469145158,6.110634015369705,12.406280860570591,3.3303578369451228,50,10,5,90,70,0.0,0.15000000000000002,G,,True
0,10.278871688563505,9.524555064327721,20.236171164357717,5.467474121090212,50,50,1,80,80,0.0,0.45,G,,False
0,7.562495523021726,6.930745619466457,15.217815997508605,4.09147724103577,50,10,5,50,80,0.0,0.25,G,,True
0,6.146355487690147,5.649800419126258,12.10600828645693,3.296493108504439,50,50,1,10,50,0.0,0.0,G,,False
0,3.329172696841764,3.0342834591380807,7.080981287168646,1.9277353505208839,50,50,1,90,20,0.0,0.15000000000000002,G,,False
0,3.2457270684218527,3.0376213402637333,6.654918682508046,1.8208106824135202,50,50,1,20,0,0.0,0.1,G,,False
0,22.266740222059642,19.478411364653567,49.05511384715664,15.207953233491176,50,50,1,70,20,0.0,0.75,G,,False
0,11.081091060968502,9.872024740461512,23.982338783727027,6.459378337884596,50,50,1,80,30,0.0,0.55,G,,False
0,15.790731832356217,14.294392172857023,32.049307502644986,8.734870794555654,50,50,1,30,70,0.0,0.6000000000000001,G,,False
0,5.667990378671137,5.257786565511083,11.372629971323054,3.0102824732700886,50,10,5,30,40,0.0,0.30000000000000004,G,,True
0,7.092414221561914,6.396237619856549,14.726544501549075,4.051675579762678,50,50,1,70,30,0.0,0.4,G,,False
0,8.273604494718867,7.58527670652272,16.44516571122832,4.3280236417734805,50,10,5,10,40,0.0,0.5,G,,True
0,4.422791344252242,4.2170471804808685,8.761395921316382,2.3519825281480524,50,50,1,40,70,0.0,0.05,G,,False
0,9.387264237127198,8.58803639696388,18.632652505121207,5.154993998706424,50,50,1,40,70,0.0,0.4,G,,False
0,13.833638022949112,12.225741615941438,29.980460522873866,8.572426820142597,50,50,1,90,50,0.0,0.6000000000000001,G,,False
0,5.047500461028083,4.561883125126201,10.22703248307772,2.7515908959797115,50,10,5,40,40,0.0,0.25,G,,True
0,3.346539700621478,3.1138937624655014,6.8864283739123024,1.8083976535677555,50,10,5,100,0,0.0,0.45,G,,True
