,,error_angle_mean,error_angle_median,error_angle_25,error_angle_75,error_angle_95,error_angle_std,error_angle_S2,error_vgp_scatter,n_tot,N,n0,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers,total_simulations
0,0,3.007370850206918,2.812011005750101,1.8171021564977785,3.9842929957455127,5.972955948531196,1.5912234954130906,11.575765244586465,1.9631661549276171,100,20,5,50,30.0,0.0,0.06,G,,True,5000
1,0,1.6743687481254896,1.572390407945086,0.9922468154354966,2.2152381206087597,3.3437808784477983,0.89367046376357,3.6019978731231532,4.06393879935376,100,100,1,50,30.0,0.0,0.0,G,,vandamme,5000
2,0,5.944137814205201,5.464738748063496,3.456442192341985,7.867386578139584,11.994503180493435,3.282056978294268,46.102517983432534,10.720174463515635,100,20,5,50,30.0,0.0,0.3,G,,False,5000
3,0,3.13269534223758,2.9165152295667127,1.863807496788052,4.135227584222399,6.3353592737707425,1.6953660131414956,12.68747117260862,33.48834155730663,100,100,1,50,30.0,0.0,0.2,G,,False,5000
4,0,1.8792385486640735,1.7529715623909325,1.1398240085519937,2.4995299247263354,3.6872838047837484,0.9991866634678129,4.5297118364393025,4.391925649853909,100,100,1,50,30.0,0.0,0.1,G,,True,5000
5,0,3.623670584922633,3.3821543950241306,2.1414455717688057,4.842109590007201,7.269034039453856,1.9451551129750324,16.913860195883746,4.319809248673238,100,20,5,50,30.0,0.0,0.08,G,,False,5000
6,0,3.084593710652095,2.905296522484342,1.8883256179551964,4.0715124970925665,6.0021126763429775,1.5983422904826126,12.068905497724156,1.9637814384909287,100,20,5,50,30.0,0.0,0.12,G,,True,5000
7,0,2.1263639691385934,1.9861176366566795,1.2692731191315332,2.855590206370888,4.180581441786355,1.1354815875911557,5.810484301322212,2.41117795756847,100,100,1,50,30.0,0.0,0.3,G,,True,5000
8,0,6.733033523346426,6.145287777179689,3.911074816318486,8.929860859096117,13.983184591227413,3.8798569416038853,60.38401965584117,9.18227075825723,100,20,5,50,30.0,0.0,0.44,G,,vandamme,5000
9,0,3.451274608327313,3.241769024285773,2.1112608606482084,4.546880982168087,6.7728307623044905,1.8100665082996028,15.186981918399875,2.4935772806426515,100,20,5,50,30.0,0.0,0.54,G,,True,5000
