,,error_angle_mean,error_angle_median,error_angle_25,error_angle_75,error_angle_95,error_angle_std,error_angle_S2,error_vgp_scatter,n_tot,N,n0,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers,total_simulations
0,0,3.7713084901276415,3.594937641465613,2.2404213721345023,5.035025480070054,7.375311818729448,2.0232423593918796,18.312183862901612,2.9973913027089,100,20,5,30,30,0.0,0.4999999999999999,G,,True,1000
1,0,1.7304375379322987,1.6489099744105502,1.1041290485633652,2.2615678116826743,3.274322266106639,0.8695908241621602,3.749846085950754,1.2736417457713842,100,100,1,80,20,0.0,0.33999999999999997,G,,vandamme,1000
2,0,8.017144506064415,6.78016287901378,4.366664664646528,10.443058004410108,17.805334781481097,5.227918238283114,91.57840400818587,38.481534503505394,100,100,1,60,40,0.0,0.6199999999999999,G,,vandamme,1000
3,0,5.956191649856546,4.968238489584003,3.012804428167591,7.761616295389285,14.64373082342782,4.2446851575344064,53.47555370432713,27.775155361687997,100,100,1,70,40,0.0,0.5799999999999998,G,,vandamme,1000
4,0,2.6423349593690366,2.4862535680118256,1.5988856212232854,3.4739073029124796,5.219749056460001,1.4251478000013704,9.010949243100665,2.356351441192449,100,100,1,80,60,0.0,0.3,G,,vandamme,1000
5,0,5.23234875817058,4.919543977406974,3.055627542766125,6.994499448690412,10.30827050225185,2.7872024640068855,35.138202604919904,3.09399060295598,100,20,5,100,80,0.0,0.3,G,,True,1000
6,0,2.835526027752573,2.6436983949828985,1.6869017197142995,3.815983091719467,5.594169844577933,1.5335519219988878,10.3896375700313,2.2544191259601134,100,100,1,100,70,0.0,0.3,G,,vandamme,1000
7,0,5.275401745757035,4.894745720931901,3.098093047737521,7.179382066246767,10.13427383956615,2.9013371927052365,36.23920332740531,6.737737192187291,100,20,5,10,30,0.0,0.4999999999999999,G,,True,1000
8,0,5.779717256892535,5.420745757843221,3.404797138760795,7.709834755103476,11.258356121000869,3.0631469354945633,42.778617848902655,3.626456589888916,100,20,5,90,80,0.0,0.6599999999999998,G,,True,1000
9,0,3.9586295662216564,3.7506177417353186,2.372220123865336,5.215928135567726,7.56602091217952,2.0629785696212934,19.92237274070226,2.543822518954361,100,20,5,80,50,0.0,0.4599999999999999,G,,True,1000
