,error_angle_mean,error_angle_median,error_angle_std,N,k,n,kappa_within_site,site_lat,outlier_rate,ignore_outliers,site_long
0,19.496916340496256,16.339118938750076,15.099076678947027,1,1,1,50,30,0.0,False,0
0,16.91277024564262,14.150931520217796,12.975464463094063,2,2,1,50,30,0.0,False,0
0,16.292285209079612,13.124656089270871,14.344593303356183,3,3,1,50,30,0.0,False,0
0,15.993276469804892,13.044046431053104,13.439575569811192,4,4,1,50,30,0.0,False,0
0,15.659230951299843,12.496677674620635,13.611770066861128,5,5,1,50,30,0.0,False,0
0,15.260334677288249,12.404071534051923,13.501074685279526,6,6,1,50,30,0.0,False,0
0,15.377944901890249,12.285391188540693,14.017254525409633,7,7,1,50,30,0.0,False,0
0,15.116581822308074,11.946640126235962,13.517162366310219,8,8,1,50,30,0.0,False,0
0,15.446197078812228,12.086853523782949,13.6761014805246,9,9,1,50,30,0.0,False,0
0,15.130366967163635,12.07756698051272,13.151990350518586,10,10,1,50,30,0.0,False,0
0,15.10033212381912,11.785222979662116,14.34386613252221,11,11,1,50,30,0.0,False,0
0,15.411437340051965,12.107321330948608,14.086484749375623,12,12,1,50,30,0.0,False,0
0,15.235179393323882,11.98771619884399,14.753035944350104,13,13,1,50,30,0.0,False,0
0,14.970540255843142,11.721673569347274,13.634813401728875,14,14,1,50,30,0.0,False,0
0,14.819375157807452,11.780599087791572,13.10859510642215,15,15,1,50,30,0.0,False,0
0,15.043155479591771,11.74931555352542,13.94019245244631,16,16,1,50,30,0.0,False,0
0,15.24964736254034,11.68897413182659,14.853783996802688,17,17,1,50,30,0.0,False,0
0,15.047032233429789,12.022389901634433,13.297275260903124,18,18,1,50,30,0.0,False,0
0,14.624772123213763,11.59894853445838,12.961884795126464,19,19,1,50,30,0.0,False,0
0,14.843586624936663,11.66260828646275,13.791156824545903,20,20,1,50,30,0.0,False,0
0,14.795029406112615,11.458551090417068,13.422935761869525,21,21,1,50,30,0.0,False,0
0,14.839518052928486,11.574166971554057,13.776773169997721,22,22,1,50,30,0.0,False,0
0,15.023832302402479,11.76602372896211,13.71182864755461,23,23,1,50,30,0.0,False,0
0,14.935696839167049,11.729626268871442,14.112792066567177,24,24,1,50,30,0.0,False,0
0,15.048447267903391,11.377401750114288,15.026540437574631,25,25,1,50,30,0.0,False,0
0,14.892039424056316,11.876016211442185,13.437628398637136,26,26,1,50,30,0.0,False,0
0,14.950778157227468,11.325746952765769,15.182941930572913,27,27,1,50,30,0.0,False,0
0,14.668430725177117,11.40222259813661,13.622449436597574,28,28,1,50,30,0.0,False,0
0,15.189253773861873,11.673751380880574,14.271204526096696,29,29,1,50,30,0.0,False,0
0,14.859736496932605,11.534309387086694,13.539423517139785,30,30,1,50,30,0.0,False,0
0,15.204835596098718,11.676685274007227,14.483686514751675,31,31,1,50,30,0.0,False,0
0,14.512899575493316,11.617954637843042,12.96144052537936,32,32,1,50,30,0.0,False,0
0,14.980134822234414,11.785127345498687,13.354277877977607,33,33,1,50,30,0.0,False,0
0,14.386468429802306,11.234325446258374,13.362781458217645,34,34,1,50,30,0.0,False,0
0,14.313211065264072,10.957600548973538,13.049712756956852,35,35,1,50,30,0.0,False,0
0,15.258448085368826,11.655924886277695,14.464308537926152,36,36,1,50,30,0.0,False,0
0,14.494289124117707,11.421548900747602,13.05276835702688,37,37,1,50,30,0.0,False,0
0,14.484235140082916,11.373194601358001,13.50568876455704,38,38,1,50,30,0.0,False,0
0,14.579973400884898,11.43239957267312,13.250665354942983,39,39,1,50,30,0.0,False,0
0,14.817414782841547,11.632476427930428,13.290667336108465,40,40,1,50,30,0.0,False,0
0,14.109946373115639,12.003482392485417,9.950861004752335,2,1,2,50,30,0.0,False,0
0,12.68080329943732,10.691314914516639,9.2624660794722,4,2,2,50,30,0.0,False,0
0,12.157930852384153,9.961780440040684,9.80461737000709,6,3,2,50,30,0.0,False,0
0,11.646338258402956,9.853147256996529,8.81113930437962,8,4,2,50,30,0.0,False,0
0,11.663386130253425,9.618299998846588,9.472345317729218,10,5,2,50,30,0.0,False,0
0,11.551822457062014,9.473750369419335,9.115006490422989,12,6,2,50,30,0.0,False,0
0,11.723331474933774,9.476386794802998,9.747816511174566,14,7,2,50,30,0.0,False,0
0,11.406953877031802,9.248739851912276,9.554194928922863,16,8,2,50,30,0.0,False,0
0,11.551569126524921,9.265295955491332,9.768468742284936,18,9,2,50,30,0.0,False,0
0,11.451445238702414,9.223211558240244,9.511709629554803,20,10,2,50,30,0.0,False,0
0,11.296214728456382,9.163706149651603,9.298011611646828,22,11,2,50,30,0.0,False,0
0,11.51314213963215,9.344597947320658,9.550842773386377,24,12,2,50,30,0.0,False,0
0,11.250317051990267,9.067751624011564,9.16774030482548,26,13,2,50,30,0.0,False,0
0,11.150120968083549,8.927161679632725,9.055090877489544,28,14,2,50,30,0.0,False,0
0,11.207696589386456,9.157887422887896,8.819431186478992,30,15,2,50,30,0.0,False,0
0,11.224946477070327,9.109441138306053,9.146061129823659,32,16,2,50,30,0.0,False,0
0,11.192796820268086,9.041696466790953,9.462928000283947,34,17,2,50,30,0.0,False,0
0,11.093769201025701,9.023068148263,9.234783077776454,36,18,2,50,30,0.0,False,0
0,11.313367222326727,8.98775886299395,9.772125697965363,38,19,2,50,30,0.0,False,0
